,ts,x,y,z,i,j,k,w
71,71,-0.0008015280315529392,0.0008631499661296744,0.19418045045743265,0.0020166232755333548,6.492251380004117e-05,-0.0003702239875541114,0.9999978959727021
72,72,-0.0008033382617267875,0.0008625713141939184,0.19418347264770008,0.0020186500971190536,5.8947286399874035e-05,-0.0003698391280219301,0.9999978923957902
73,73,-0.0008050156809707129,0.0008620366897403866,0.1941862349318872,0.0020205247802264014,5.344595316115288e-05,-0.0003694936302313552,0.9999978890465718
74,74,-0.0008065678085843286,0.0008615450413185567,0.19418876060671292,0.00202225368802504,4.83856274475816e-05,-0.0003691848968045282,0.9999978859234474
75,75,-0.0008080034463903683,0.0008610935873128281,0.19419107023820026,0.0020238474465820344,4.373175382880843e-05,-0.00036890954403565344,0.9999978830151568
76,76,-0.0008093310086712128,0.0008606795099382707,0.1941931825071624,0.0020253164519640245,3.945200046961456e-05,-0.0003686643849190397,0.9999978803094436
77,77,-0.0008105583508713396,0.0008603001538039547,0.1941951144508123,0.0020266703725669577,3.5516546873680655e-05,-0.0003684465223702133,0.999997877794216
78,78,-0.000811692781776059,0.0008599530401669849,0.1941968816174321,0.002027918140921891,3.189794129815026e-05,-0.00036825333520131806,0.9999978754577512
79,79,-0.0008127410964532348,0.000859635858930129,0.19419849819911456,0.0020290680019764556,2.8570919167331518e-05,-0.0003680824533049209,0.9999978732887652
80,80,-0.0008137096099246914,0.0008593464583966378,0.1941999771516264,0.0020301275646416703,2.5512229719517553e-05,-0.0003679317337284767,0.9999978712764528
81,81,-0.0008146041891709357,0.0008590828352420017,0.1942013303034325,0.0020311038503042387,2.2700475683861248e-05,-0.0003677992388678634,0.999997869410509
82,82,-0.0008154302832514385,0.0008588431249920871,0.1942025684549716,0.002032003337778745,2.0115965626383825e-05,-0.0003676832167386833,0.9999978676811444
83,83,-0.0008161929515930072,0.0008586255930264573,0.1942037014690773,0.0020328320048730924,1.7740578039818437e-05,-0.00036758208314484765,0.9999978660790853
