x,y,z
-0.0740621,-0.0526815,0.198678
-0.0745839,-0.0529397,0.19862
-0.0751947,-0.0533253,0.198538
-0.0757058,-0.0535911,0.198487
-0.0763297,-0.0540066,0.198418
-0.0768472,-0.0542861,0.198372
-0.0774788,-0.0547354,0.198316
-0.078003,-0.0550298,0.198269
-0.0786414,-0.0555029,0.19822
-0.0791733,-0.0558126,0.198175
-0.0798267,-0.0562971,0.198117
-0.0803649,-0.0566186,0.198074
-0.0810317,-0.0571119,0.198008
-0.0815829,-0.057436,0.197961
-0.0822641,-0.0579369,0.197888
-0.0828279,-0.0582648,0.197837
-0.083527,-0.058771,0.197757
-0.0841028,-0.0591019,0.197701
-0.0848203,-0.0596135,0.197615
-0.0854135,-0.0599495,0.197555
-0.0861682,-0.0604313,0.197454
-0.0868718,-0.0608005,0.197388
-0.0877501,-0.0612351,0.19725
-0.088506,-0.061595,0.197167
-0.0893836,-0.0620381,0.197006
-0.0901821,-0.0624106,0.196905
-0.0910688,-0.0628725,0.196728
-0.0918821,-0.0632546,0.196614
-0.0927841,-0.0637165,0.196421
-0.0936092,-0.0641055,0.196291
-0.0945242,-0.0645711,0.196079
-0.0953503,-0.0649641,0.195935
-0.0962685,-0.0654393,0.195705
-0.0970991,-0.0658392,0.195544
-0.0980236,-0.0663209,0.195294
-0.0988576,-0.0667272,0.195118
-0.0998022,-0.0672228,0.194844
-0.100624,-0.0676276,0.19465
-0.101694,-0.0681734,0.194341
-0.101955,-0.0683043,0.194276
